,date,user,source,tweet,location,like_count,retweet_count
47,2022-11-29 15:31:00+00:00,Kepari_toimitus,Twitter Web App,"Keskustan irtaantuminen hallitusrintamasta repii rivejä – Vihreät vaatii puheenjohtajia koolle, SDP:n mukaan keskustan toimintakyky hallituspuolueena herättää jatkuvasti kysymysmerkkejä https://t.co/HU0jmzglLV #hallitus #hallituskriisi #keskusta #vihreät #sdp #luonnonsuojelulaki",,1,1
48,2022-11-29 15:25:28+00:00,LoikkanenToivo,Twitter Web App,Tiukkaa ja varmaan lähelle oikeaa osuvaa analyysia toimittajalta @NurminenTapio hallituksen tilanteesta! #hallitus #keskusta #sdp #vihreät #Saarikko #Marin @keskusta @SosiaaliD @SosiaaliD https://t.co/XhNsdojc0V,Savonlinna,3,2
49,2022-11-29 15:03:58+00:00,shefbell,Twitter for Android,"Instead the opposition should focus on APC Buhari government how is rulling this country and challenge there mistakes , instead they are busy with there propagandas, God help Nigeria...opposition party is died #PDP #SDP #NNPP #LabourParty #soworemagashi2023","Lagos, Nigeria",0,0
50,2022-11-29 15:03:49+00:00,nixnax___,Twitter for iPad,"@JukkaPerttula Kyllä tässä on harkittava vakavasti, tulisiko #sdp #vireät ja #vasemmisto puolueet kieltää lailla? 
Kaikille on aivan selvää, että nämä puolueet tuovat pelkkää tuhoa ja anarkiaa yhteiskuntaamme. Kuten tässä #Energia asiassa, kaikki huonot päätökset ovat näiden puolueiden tekemiä!",,0,0
51,2022-11-29 15:02:06+00:00,moshim96,Twitter Web App,"Hämmentävä avaus @NasimaRazmyar'lta. Rangaistusten kiristäminen ei vähennä rikollisuutta, se kasvattaa kustannuksia eikä vaikuta nuorisorikollisuuden taustalla oleviin tekijöihin. Ymmärrän, että vaalien alla haetaan näkyvyyttä, mutta ei näin.
#sdp

https://t.co/0DM2UDJq9V",,1,0
52,2022-11-29 14:47:58+00:00,designplugz,Twitter for iPhone,@Officialmcpepe1 @Pres_Adebayo #HopeAgain2023 @Pres_Adebayo I do graphics for a living,my mansion,0,0
53,2022-11-29 14:42:49+00:00,thiefnubu,Twitter for iPhone,"If you think Aisha Buhari is bad, Remi Tinubu will be worse. 

Jada #OloyeLivesOn National Assembly Obie NNPC #HopeAgain2023 Airforce Omojuwa Cavemen First Lady Kudus Osun Lagos State","Lagos, Nigeria",6,1
54,2022-11-29 14:36:07+00:00,ParjanenPirkko,Twitter Web App,"https://t.co/MGGIcVZ9fN 
Eläkeläisten perusverotukseen ei näköjään kykene kukaan puuttumaan. Ei myöskään luoda eläkeläisten työmarkkinoita. #eduskuntavaalit2023 #kokoomus #sdp #kd #persut",,0,0
55,2022-11-29 14:34:12+00:00,thequesttimes,Twitter Web App,"Physically challenged man from Kano seen campaigning for Peter Obi in Abuja

Follow @thequesttimes for more...
#ASUU #HopeAgain2023 #AbujaTwitterCommunity https://t.co/qZLfOJUIHd","Abuja, Nigeria",3,2
56,2022-11-29 14:25:53+00:00,Attitude_Girl2,Twitter for Android,"محنت کروں لکین گھر نہ آجاڑو 😆
محبت کروں پر امید نہ کروں۔
#HopeAgain2023 😂😂😂","Lahore, Pakistan",7,0
57,2022-11-29 13:20:31+00:00,Officialmcpepe1,Twitter for iPhone,Congratulations @naheemat_abike  #HopeAgain2023 https://t.co/DJVrPBvpMH,Nigeria,31,21
58,2022-11-29 13:07:06+00:00,KennethKoce,Twitter for Android,FOGN Beauty Pagent #HopeAgain2023,were God want me to be,2,0
59,2022-11-29 13:06:06+00:00,KennethKoce,Twitter for Android,FOGN Beauty pageant #HopeAgain2023,were God want me to be,2,0
60,2022-11-29 13:04:21+00:00,suvi_pulkkinen,Twitter Web App,Kepu heitti pääministeripuolueen ulos valiokunnasta. Aikaisemmin tällä kaudella #Keskusta masinoi pääministerin vaihdon. Törkeää ja vastuutonta hallituksen horjuttamista kerta toisensa jälkeen. #vihreät #sdp https://t.co/shouQR01LG,Helsinki,2,0
61,2022-11-29 13:02:27+00:00,Officialmcpepe1,Twitter for iPhone,Congratulations @naheemat_abike comment your account number. All thanks to the NGO in support of this initiative on behalf of @Pres_Adebayo .  Keep quoting 👇 your business using #HopeAgain2023. Follow @Pres_Adebayo ✅,Nigeria,41,26
62,2022-11-29 12:56:26+00:00,PaavoKokkala,Twitter for Android,"Toimii, ei toimi, toimii, ei toimi... Näin toimii meidän #hallitus kuin vilkku, jos on ministerien puheita uskominen.
#keskusta #sdp",,0,0
63,2022-11-29 12:09:06+00:00,alternate_lagos,Twitter for iPhone,"Fisheries 

#HopeAgain2023","Lagos, Nigeria",0,0
64,2022-11-29 11:59:17+00:00,jacob_alhamdu,Twitter for Android,"""Just because you don't see the result from your current actions, it doesn't mean you're are not making progress."" 
-Anthony Robbins #viral #HopeAgain2023","Ilorin, Nigeria",1,0
65,2022-11-29 11:55:05+00:00,JustNewsline,Twitter for iPhone,"Aisha Buhari: Aminu Adamu brutalized, maltreated in detention, no medical attention – NANS raises alarm

-
-
Jada / MLLE / Aminu / Aisha Buhari / November Dump / #HopeAgain2023 / Chicago State University / Ovie / NNPC / Ovie 

https://t.co/VEwMm7sptb",,2,2
66,2022-11-29 11:52:46+00:00,JustNewsline,Twitter for iPhone,"Kolo Toure gets new managerial job in England

-
-
Jada / MLLE / Aminu / Aisha Buhari / November Dump / #HopeAgain2023 / Chicago State University / Ovie / NNPC / Ovie 

https://t.co/zyWf44rDst",,2,3
67,2022-11-29 11:50:35+00:00,JustNewsline,Twitter for iPhone,"Fuel scarcity: Remove subsidy, heavens won’t fall – Former NNPC GM tells FG

-
-
Jada / MLLE / Aminu / Aisha Buhari / November Dump / #HopeAgain2023 / Chicago State University / Ovie / NNPC / Ovie 

https://t.co/RcTnLum8lb",,3,2
68,2022-11-29 11:48:45+00:00,JustNewsline,Twitter for iPhone,"Nnamdi Kanu: Lawyer, Ejimakor threatens DSS over refusal to release IPOB leader

-
-
Jada / MLLE / Aminu / Aisha Buhari / November Dump / #HopeAgain2023 / Chicago State University / Ovie / NNPC / Ovie 

https://t.co/yzVihx1ZCH",,2,2
69,2022-11-29 11:48:08+00:00,LordSam_,Twitter for iPhone,"And #HopeAgain2023 is a democratic song of liberty saying Farewell to Poverty and Insecurity. 

God bless Nigeria! 

@Yusufsbuhari @Pres_adebayo https://t.co/0aFlcJbaBs",Universe ,1,0
70,2022-11-29 11:45:57+00:00,JustNewsline,Twitter for iPhone,"Police arrest 20-year-old woman for killing co-wife with pestle

-
-
Jada / MLLE / Aminu / Aisha Buhari / November Dump / #HopeAgain2023 / Chicago State University / Ovie / NNPC / Ovie 

https://t.co/yQ60PLTh2K",,2,2
71,2022-11-29 11:43:57+00:00,JustNewsline,Twitter for iPhone,"World Cup: Benzema to return to France squad

-
-
Jada / MLLE / Aminu / Aisha Buhari / November Dump / #HopeAgain2023 / Chicago State University / Ovie / NNPC / Ovie 

https://t.co/WqAgKGY8k6",,2,2
72,2022-11-29 11:40:12+00:00,JustNewsline,Twitter for iPhone,"Shiloh 2022: We don’t seek financial help – Bishop Oyedepo issues stern warning
-
-
Jada / MLLE / Aminu / Aisha Buhari / November Dump / #HopeAgain2023 / Chicago State University / Ovie / NNPC / Ovie 

https://t.co/foKSF9R404",,3,3
73,2022-11-29 11:38:45+00:00,Mazi_Royaldon,Twitter for iPhone,"If you missed the Townhall Series “The Candidates” with 
@KadariaAhmed
and my Vice President 
@yusufsbuhari
,here is a copy. We shall restore hope to Nigerians when elected in 2023, by bidding farewell to poverty and insecurity. https://t.co/dyOO3OSrMQ
 #HopeAgain2023",Nigeria,1,0
74,2022-11-29 11:36:51+00:00,Sabi2Earn,Twitter for Android,"Have you ever wondered what people call ""baby rabbits""?
#MAMA2022 | Osun | Patience Jonathan #WorldCup #FIFAWorldCupQatar2022 | Oyetola #HopeAgain2023 | Aminu #Bankstrivia https://t.co/BpEYZ8zWgu",Nigeria ,1,0
75,2022-11-29 11:23:47+00:00,kitelink,Twitter Web App,"Reduce complexity for your admins, engineers, and operators with a cloud-native, cloud-deployed #ZeroTrust platform from @AppgateSecurity. Learn more about this platform and see how it works here https://t.co/MDeDz8WZ17

#cloud #SDP #ecosystem #ZTNA https://t.co/sv0TrFPYna","Leicester, UK",1,0
76,2022-11-29 11:22:50+00:00,AborisadeAdeto1,Twitter for Android,"Effective &amp; proper functioning of the #ArmedForces @PoliceNG &amp; allied securities to restore security in every part of 🇳🇬 respect the sanctity of life &amp; development shall be a primary task of the @SDP_Advocate in the post-2019 elections

@Pres_Adebayo
@Yusufsbuhari
 #HopeAgain2023","Port Harcourt, Nigeria",2,3
