,date,user,source,tweet,location,like_count,retweet_count
1669,2022-11-24 14:31:38+00:00,AAbuSideChick,Twitter for Android,"Kwarans came out to show love and support.. Kwara is #Atikulated
#KwaraPDPPresidentialRally
#AtikuOkowaInKwara
#Recovery2023
#RecoverNigeria
#AtikuOkowa2023 is a reality https://t.co/ubSgxxn4p5",Twitter ,0,0
1670,2022-11-24 14:31:25+00:00,daclemx,Twitter Web App,"APC is finished... No wonder them dey fight BVAS

#Vote Peter Obi Ibadan president Peter Obi Donald Duke Atiku Wike Keyamo northerners Arewa seun jagaban Arise TV Bulaba South South Rufai Lauretta Onochie EnoughIsEnough Obidiot Kizz Daniel AtikuOkowa Bola Tinubu Shettima Adamawa https://t.co/bobxXVz07P",Earth,0,1
1671,2022-11-24 14:31:01+00:00,CInternationalM,Twitter for Android,"From what I can see today in Kwara State, the whole place is fully electrified knowing that #AtikuOkowa2023 is the saviour for Nigeria come 2023! Nigeria will be great again! https://t.co/eMeJ4yllH0","Asaba, Nigeria",4,2
1672,2022-11-24 14:29:59+00:00,Empress81743861,Twitter for Android,"@atiku We are ready to take over. Kwara state, your light has come. 
#AtikuOkowa2023.
#AtikuInKwara .
#Recovery.",,1,0
1673,2022-11-24 14:29:56+00:00,UcheCornelius94,Twitter for Android,#AtikuOkowa2023 https://t.co/rOJxR8wFXU,,0,0
1674,2022-11-24 14:29:21+00:00,daclemx,Twitter Web App,"That's it

#Vote Peter Obi Ibadan president Peter Obi Donald Duke Atiku Wike Keyamo northerners Arewa seun jagaban Arise TV lagosians Oshiomole Bulaba South South Rufai Lauretta Onochie EnoughIsEnough Obidiot Kizz Daniel AtikuOkowa Bola Tinubu Shettima Adamawa https://t.co/jnsu0VgBg4",Earth,0,0
1675,2022-11-24 14:28:56+00:00,Babaibadansahed,Twitter for Android,"Thank you Kwara state for getting ATIKULATED

#AtikuOkowa2023
#AtikuInKwara
#atikuiscoming https://t.co/RP6z3Gn5Ji","Ilorin, Nigeria",19,6
1676,2022-11-24 14:28:44+00:00,InijeRukevwe,Twitter for Android,"Kwara state as been electrified with the #RocoverNigeria train, the taste for AtikuOkowa is high, the love was massive.. From what we have seen today Nigerians are tired of the hunger, insecurity and inflation. I thank   Kwara state for believing in AtikuOkow. https://t.co/jnUIu5Jmwd",,4,3
1677,2022-11-24 14:24:56+00:00,datgirlAdeola,Twitter for iPhone,"This is massive🙌.. Kwara people came out in mass to welcome the leading leader and incoming vice president of Nigeria, Senator (Dr) Ifeanyi Okowa.
Let’s #RecoverNigeria together.
#AtikuOkowa2023 
https://t.co/LzKTXTKq7U",Turn on my notification,39,37
1678,2022-11-24 14:23:43+00:00,dan_pdp,Twitter for Android,"#AtikuOkowa2023 
@OfficialPDPNig Presidential Campaign Rally, happening Live at the Metropolitan Square, Ilorin, Kwara The stage is set and the people are eager and to receive the incoming President of Nigeria, @atiku and his Running Mate, @IAOkowa. Come…let’s #RecoverNigeria https://t.co/J2xjrBHuJA","Uşak, Türkiye",1,0
1679,2022-11-24 14:22:11+00:00,Phabpresh,Twitter for Android,"According to what we observed in Kwara State today, Nigerians are sick of the poverty, insecurity, and inflation. We appreciate Kwara's support of our effort to #RecoverNigeria. -Sen. Ifeanyi Okowa, PDP Vice-Presidential Candidate, #AtikuInKwara  #AtikuOkowa2023 https://t.co/RduIzna6w2",Nigeria,2,2
1680,2022-11-24 14:19:45+00:00,KAtevure,Twitter for Android,"Atiku/Okowa shut down Kwara!

#AtikuOkowa2023 
#RecoverNigeria https://t.co/19qrXOyOkt","Delta, Nigeria",11,5
1681,2022-11-24 14:15:12+00:00,Dec_Uche,Twitter for Android,"A Muslim-Muslim ticket is whole trash, despicable and demonic. Babachir Lawal is 100% in support of the #AtikuOkowa2023 Presidency
#RecoverNigeria with Atiku Abubakar.",,6,2
1682,2022-11-24 14:15:05+00:00,D3an0fw4rri,Twitter for Android,"In the quest to recover Nigeria; Today Kwara State has shown that they are fully ready to support the Atiku/Okowa administration to take over in 2023.

#AtikuOkowa2023 https://t.co/8EtqdYvtDg","Warri, Nigeria",8,5
1683,2022-11-24 14:14:16+00:00,IkehAnthony3,Twitter for Android,"No annocement, No Mobilisations in Kwara about today's PDP Rally. But Saraki Capacity and #OsuWa Movement turned everything on. 🔥🔥🔥 #AtikuOkowa2023 #AtikuOkowaInKwara https://t.co/38Uqqq6vk7",Nigeria,4,4
1684,2022-11-24 14:14:04+00:00,Jessicaphilip2,Twitter for Android,"The love is massive and from what we have seen in Kwara Today, Nigerians are Ready to Rescue and Reform Nigeria.
Kwara State is Atikulated.

Thank you To Kwara State for This Warm Reception.
#AtikuInKwara 
#AtikuOkowa2023 https://t.co/NCgiKxl4zo","Federal Capital Territory, Nig",5,1
1685,2022-11-24 14:13:59+00:00,ose_anenih,Twitter for iPhone,"I love this. Pure Electricity ⚡️⚡️⚡️

#AtikuOkowa2023 
#AtikuInKwara 
#RecoverKwaraWithAtiku 
#RecoverNigeria https://t.co/pn8pROtwlp",Nigeria,19,10
1686,2022-11-24 14:09:42+00:00,Jonatha16532516,Twitter Web App,"HE Alh Atiku Abubakar GCON Wazirin Adamawa just arrived in Ilorin, the Kwara state capital for the continuation of the Presidential Campaign Rally. He is accompanied by party chieftains, aides, and several well-wishers. 

Watch out for updates on #AtikuInKwara
#AtikuOkowa2023",,1,0
1687,2022-11-24 14:07:37+00:00,Isah_Marlyn,Twitter for Android,"Atiku has been investing in education for the past thirty years. He will give us the best of education system, as President.

#AtikuOkowa https://t.co/JrI7agZYWW","Lagos, Nigeria",0,0
1688,2022-11-24 14:07:22+00:00,YinkaJones2,Twitter for Android,"#AtikuOkowa shut down Kwara.

We need a change that supercedes all changes and #PDP is the party for this spetacular change. https://t.co/rQEa5truev",Abuja,5,2
1689,2022-11-24 14:06:55+00:00,Phabpresh,Twitter for Android,"Atiku/Okowa has shut down Kwara, there is no space for anybody to go through, the place is filled, you can see the love the people of Kwara have for Atiku/Okowa, Kwara is PDP #AtikuInKwara #AtikuOkowa2023 #atikuiscoming https://t.co/6L1mZ5cI06",Nigeria,15,14
1690,2022-11-24 14:05:59+00:00,charityajayi,Twitter for Android,Decamp to Labour Party or pay #100 to remain in APC #ObiDatti2023 #NigeriaDecides president Peter Obi @inecnigeria #AtikuOkowa2023 Bola Tinubu BVAS Soludo APGA Cameroon https://t.co/wzFcIPrXQL,"Lagos, Nigeria ",1,0
1691,2022-11-24 14:04:25+00:00,Isah_Marlyn,Twitter for Android,"""I take very strong exception to the strike by ASUU and the Government's inability to resolve the crisis."" - Atiku 

#AtikuOkowa https://t.co/JrI7agZYWW","Lagos, Nigeria",0,0
1692,2022-11-24 14:02:41+00:00,FlumesR,Twitter for Android,"@atiku It's #AtikuOkowa2023 o'clock
#RecoverKwaraWithAtiku https://t.co/UCfj68mfs8",Nigeria,0,0
1693,2022-11-24 13:59:39+00:00,Isaac62946167,Twitter for iPhone,"@zoey_in_motion @ShehuSani Because only he has what it takes to the power out of the hand 🙌 of APC, Dont vote for #AtikuOkowa2023 if you want another 4 years of suffering, vote for AA and enjoy a prosperous new Nigeria",Nigeria,0,0
